channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UCHsx4Hqa-1ORjQTh9TYDhww,2021-03,1664223,411579,76588,3505,95.42356504935499
UCHz3PeU1RRcY9vJDSqsigIA,2021-03,49606,7582,3009,109,96.37753406447325
UCIG9rDtgR45VCZmYnd-4DUw,2021-03,101012,20994,8798,502,94.29415776312798
UCIJ6TGsTcBlYGUj-zbL60EQ,2021-03,7624,1949,264,36,86.36363636363636
UCIwHOJn_3QjBTwQ_gNj7WRA,2021-03,1564,0,206,0,100.0
UCIytNcoz4pWzXfLda0DoULQ,2021-03,285147,105634,7612,833,89.05675249605885
UCJ6LH4jMNy0JN9RSThz1mMQ,2021-03,16351,3592,339,51,84.95575221238938
UCJA_J8CpKRT78Sr1bylS1vA,2021-03,8969,4586,256,46,82.03125
UCJCzy0Fyrm0UhIrGQ7tHpjg,2021-03,95601,31948,2325,224,90.36559139784947
UCJFZiqLMntJufDCHc6bQixg,2021-03,31203,0,4500,0,100.0
UCJQMHCFjVZOVRYafR6gY04Q,2021-03,2373,0,128,0,100.0
UCJubINhCcFXlsBwnHp0wl_g,2021-03,405795,22501,18322,543,97.03634974347779
UCK-J76mePKSWV4Sl6zV1Eiw,2021-03,1288,0,124,0,100.0
UCK9V2B22uJYu3N7eR_BT9QA,2021-03,562336,136888,36214,2464,93.19600154636328
UCKMYISTJAQ8xTplUPHiABlA,2021-03,444770,45813,19189,628,96.72729167752358
UCKeAhJvy8zgXWbh9duVjIaQ,2021-03,200664,33977,9338,342,96.33754551295782
UCKwATdrcjyzNv9c56PqJbWA,2021-03,36657,7321,752,72,90.42553191489363
UCL-2thbJ7grC9fmGF4OLuTg,2021-03,19920,2847,876,116,86.7579908675799
UCL34fAoFim9oHLbVzMKFavQ,2021-03,453848,87455,12828,669,94.78484565014031
UCLO9QDxVL4bnvRRsz6K4bsQ,2021-03,490932,111476,20254,996,95.08245284881998
UCLQIMDHNE0ZGAiHIdMbq7dw,2021-03,1312,0,111,0,100.0
UCL_O_HXgLJx3Auteer0n0pA,2021-03,60946,14620,2545,230,90.96267190569745
UCL_qhgtOy0dy1Agp8vkySQg,2021-03,791374,189745,73380,3046,95.84900517852276
UCLhUvJ_wO9hOvv_yYENu4fQ,2021-03,53109,0,2176,0,100.0
UCLyTXfCZtl7dyhta9Jg3pZg,2021-03,153283,55205,3890,466,88.02056555269922
