channelId,period,superChats,uniqueSuperChatters,totalSC,averageSC
UCGw7lrT-rVZCWHfdG9Frcgg,2021-03,80,67,82282,1028
UCuvk5PilcvDECU7dDZhQiEw,2021-03,406,210,521269,1283
UC9V3Y3_uzU5e-usObb6IE1w,2021-03,185,121,166538,900
UCw8bMzcXgX4SAQPraOJIVgA,2021-03,79,53,96692,1223
UCL-2thbJ7grC9fmGF4OLuTg,2021-03,34,24,21835,642
UCH1B9AR8sfWJVf9zcu9rbGg,2021-03,204,58,184916,906
UCvmppcdYf4HOv-tFQhHHJMA,2021-03,344,308,773943,2249
UCFrH3bfn7gDeV29wrHHM80g,2021-03,8,4,3150,393
UCLQIMDHNE0ZGAiHIdMbq7dw,2021-03,6,5,12200,2033
UCsVUXbx_h0YEvfH41Zwa_5w,2021-03,3,3,3353,1117
UCLO9QDxVL4bnvRRsz6K4bsQ,2021-03,659,323,744108,1129
UCJ6LH4jMNy0JN9RSThz1mMQ,2021-03,20,13,11578,578
UCyRkQSuhJILuGOuXk10voPg,2021-03,8,3,1917,239
UCxI2sKOL2JPX0SQwwKZFafQ,2021-03,1,1,200,200
UC0lik9pHju6ONgkBh7N5wHw,2021-03,6,5,2776,462
UCle1cz6rcyH0a-xoMYwLlAg,2021-03,51,35,29178,572
UC_aB_-PHLFHiP61djM0oOiQ,2021-03,5,4,3941,788
UCClwIqTUn5LDpFucHyaAhHg,2021-03,41,20,49064,1196
UCxmbiuI6Gyyln9Ec7uZ-8wQ,2021-03,5,4,9500,1900
UCllKI7VjyANuS1RXatizfLQ,2021-03,154,117,220252,1430
UCD-miitqNY3nyukJ4Fnf4_A,2021-03,397,337,682041,1717
UCkL9OLKjIQbKk2CztbpOCFg,2021-03,8,2,4268,533
UCtAvQ5U0aXyKwm2i4GqFgJg,2021-03,32,24,83878,2621
UCwcyyxn6h9ex4sMXGtpQE_g,2021-03,217,147,266826,1229
UCXW4MqCQn-jCaxlX-nn-BYg,2021-03,59,40,49329,836
UCOyYb1c43VlX9rc_lT6NKQw,2021-03,194,91,261846,1349
UCz6Gi81kE6p5cdW1rT0ixqw,2021-03,641,507,1677447,2616
UC0e6zo8oX6ISSBjPaSZsjeA,2021-03,21,18,9653,459
UCmWqYB6y8gSfPONWGspuOWQ,2021-03,24,9,23415,975
UC3iwL9Yz8LcKkJsnLPevOTQ,2021-03,4,2,16000,4000
UCBiqkFJljoxAj10SoP2w2Cg,2021-03,52,43,78299,1505
UC53UDnhAAYwvNO7j_2Ju1cQ,2021-03,64,47,60579,946
UCfipDDn7wY-C-SoUChgxCQQ,2021-03,227,144,555924,2449
UCpPuEfqwYbpn7e2jWdQeWew,2021-03,19,10,14900,784
UCKMYISTJAQ8xTplUPHiABlA,2021-03,245,177,431119,1759
UCBIR44irWpj1eTx0ZQFofHg,2021-03,1,1,1000,1000
UCt0F29rrrkOU5Vu2gyYgrBA,2021-03,273,124,472080,1729
UCSlv7Z-4q7_7NRkzJB10A5Q,2021-03,6,4,2030,338
UC8Snw5i4eOJXEQqURAK17hQ,2021-03,5,3,1850,370
UCQ7KYc1-IMQ8_Uz7XTE5DWw,2021-03,18,12,31335,1740
UCoupL81t75_Z4XRKzOSHLbg,2021-03,14,6,13476,962
UCDG8K9g6qo8gX4jCjsqUVzA,2021-03,53,43,84573,1595
UCEYU-OEI9FnbeC5hna_cbhw,2021-03,30,24,30568,1018
UCdCczCYPOeP5hTfbx6tzz_A,2021-03,19,16,18733,985
UC_4tXjqecqox5Uc05ncxpxg,2021-03,311,239,770795,2478
UCHjeZylSgXDSnor8wUnwU_g,2021-03,9,9,5273,585
UCiSRx1a2k-0tOg-fs6gAolQ,2021-03,4,3,2200,550
UCReYPHLeFKv-0wYgX6F2Zhw,2021-03,29,22,45507,1569
UC_a1ZYZ8ZTXpjg9xUY9sj8w,2021-03,252,204,550242,2183
UCNjTjd2-PMC8Oo_-dCEss7A,2021-03,20,19,28483,1424
UCWImOidHDmm0KK20bkF-rSQ,2021-03,108,82,188252,1743
UC46Wizhr_xgL9Rm9onVkPQQ,2021-03,1,1,3000,3000
UCUZ5AlC3rTlM-rA2cj5RP6w,2021-03,185,122,260710,1409
UCpBCiBjOoZanFhj-49LgcDg,2021-03,12,3,6000,500
UC1CfXB_kRs3C-zaeTG3oGyg,2021-03,1390,897,2054117,1477
UCdrQWcX7XLDSUEh9SAxnyBg,2021-03,6,5,3160,526
UC5ek2GWKvUKFgnKSHuuCFrw,2021-03,40,23,49748,1243
UCbFwe3COkDrbNsbMyGNCsDg,2021-03,13,12,27319,2101
UC5nfcGkOAm3JwfPvJvzplHg,2021-03,103,99,174157,1690
UCCXME7oZmXB2VFHJbz5496A,2021-03,65,45,38288,589
UCf6J4I7NwMXtuIU8YZKAjCA,2021-03,11,11,16271,1479
UC55-Y4cBl6alNaaOVVEYgSA,2021-03,39,24,44118,1131
UClf0kZBKcBVKVOAjGEGbQ-A,2021-03,4,3,2254,563
UCFKOVgVbGmX65RxO3EtH3iw,2021-04,9580,1579,7467772,779
UCIG9rDtgR45VCZmYnd-4DUw,2021-04,526,167,439843,836
UCBQd84IW8OvM8H5jftHdvmw,2021-04,370,111,276198,746
UC3vzVK_N_SUVKqbX69L_X4g,2021-04,400,198,409674,1024
UCt30jJgChL8qeT9VPadidSw,2021-04,345,218,301435,873
UClS6k3w1sPwlVFqK3-yID5A,2021-04,21,14,16321,777
UC1DCedRgGHBdm81E1llLhOQ,2021-04,8431,1747,7174107,850
UCwrjITPwG4q71HzihV2C7Nw,2021-04,394,179,328837,834
UCV2m2UifDGr3ebjSnDv5rUA,2021-04,421,69,246107,584
UC727SQYUvx5pDDGQpTICNWg,2021-04,504,237,412068,817
UCRqBKoKuX30ruKAq05pCeRQ,2021-04,1201,373,1196260,996
UC0Owc36U9lOyi9Gx9Ic-4qg,2021-04,1186,356,1035681,873
UC7CtvN04ublW4LGTPksG6mg,2021-04,654,184,577787,883
UCMzVa7B8UEdrvUGsPmSgyjA,2021-04,47,8,21412,455
UCdCczCYPOeP5hTfbx6tzz_A,2021-04,217,142,336083,1548
UCyl1z3jo3XHR1riLFKG5UAg,2021-04,3921,1073,3807865,971
UCQ0UDLQCjY0rmuxCDE38FGg,2021-04,2187,720,2319711,1060
UCeLzT-7b2PBcunJplmWtoDg,2021-04,991,435,1693789,1709
UCqm3BQLlJfvkTsX_hvm0UmA,2021-04,5174,1431,4499037,869
UCl1oLKcAq93p-pwKfDGhiYQ,2021-04,796,172,496509,623
UCbTkauz77OIO9KE5YcAKPlg,2021-04,79,43,104742,1325
UCtnO2N4kPTXmyvedjGWdx3Q,2021-04,344,205,645373,1876
UCle1cz6rcyH0a-xoMYwLlAg,2021-04,510,168,512824,1005
UCg63a3lk6PNeWhVvMRM_mrQ,2021-04,250,103,391995,1567
UC0WwEfE-jOM2rzjpdfhTzZA,2021-04,249,107,292509,1174
UCGNI4MENvnsymYjKiZwv9eg,2021-04,426,217,735076,1725
UC1CfXB_kRs3C-zaeTG3oGyg,2021-04,2090,758,1857808,888
UCP0BspO_AMEe3aQqqpo89Dg,2021-04,477,216,385238,807
UC_WOBIopwUih0rytRnr_1Ag,2021-04,1077,333,1176594,1092
UCRvpMpzAXBRKJQuk-8-Sdvg,2021-04,224,100,197957,883
UCoFEbNyIRUS26-hf2AucwFw,2021-04,242,58,247302,1021
UCl_gCybOJRIgOXw6Qb4qJzQ,2021-04,13114,2107,14876851,1134
UCOyYb1c43VlX9rc_lT6NKQw,2021-04,548,264,467784,853
UCW8WKciBixmaqaGqrlTITRQ,2021-04,941,280,700764,744
UCP9ZgeIJ3Ri9En69R0kJc9Q,2021-04,460,146,285820,621
